"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LMX1B",15.7867880980599,1.40602322151243,0.0763521116745743,18.4149880163778,9.96114020968345e-76,9.60004887708242e-74
"RASSF8",30.7894306064394,1.23854626622639,0.0672879276732716,18.4066638556676,1.16161424653477e-75,1.11370518227354e-73
"MSRB3",14.9567964014471,1.3998133295064,0.0762335130944501,18.3621779016283,2.63811536490286e-75,2.51627251093621e-73
"SHANK3",18.5933676432434,1.33013455968463,0.0724721807682582,18.3537261551154,3.08230975379489e-75,2.92487485560106e-73
"ITGAV",73.2128887246895,1.51717067769405,0.0826668065710954,18.3528400409328,3.13299789129908e-75,2.95780576431623e-73
"GDF15",60.593112705962,-3.82682116237873,0.208639722397141,-18.3417669387733,3.84107355318638e-75,3.60787944305385e-73
"TMTC1",20.0860717922156,1.37197264547421,0.0748642252564743,18.326144974773,5.11926759402044e-75,4.78418826059365e-73
"LDHB",128.767605212793,-2.16001221986985,0.117944563880329,-18.3137920799934,6.42364909209186e-75,5.97302526633507e-73
"ITGA8",16.4729987488938,1.69755211600936,0.0927303804717591,18.3063210500505,7.36829960901941e-75,6.81715079826476e-73
"NECTIN2",44.2070847986262,1.33369728077074,0.07308561610859,18.2484235856909,2.12966440130149e-74,1.96056269063099e-72
"SUN2",42.0407454984068,1.17430120259375,0.0643565746223182,18.2467946668267,2.19411115377666e-74,2.00989271235066e-72
"CTDSPL",27.1891929550194,1.37311928044566,0.0752936749252657,18.236847674238,2.63206929003807e-74,2.39920247009184e-72
"CERS6",16.8313983585018,1.2272329938659,0.0675545973304861,18.1665355484559,9.50112243652034e-74,8.61807693947904e-72
"EVA1B",23.6726258150037,1.19599720906156,0.0658426034350753,18.1644884416043,9.86219446244678e-74,8.90195347966415e-72
"SRGAP1",18.0582128222451,1.09534227938651,0.06036056077373,18.146655122913,1.36461739104059e-73,1.22577088368035e-71
"ATP1A1",147.511013785588,-2.15474656500726,0.118853209560935,-18.1294773020206,1.86523664017678e-73,1.66735936182759e-71
"DAG1",27.1995190591025,1.27220550372948,0.0703584334792418,18.08177699273,4.43554577728037e-73,3.94592976263442e-71
"DHRS3",39.0970796972167,1.46873264121406,0.0812505087028729,18.0765962535091,4.87246053010592e-73,4.31387605976459e-71
"GIMAP8",18.6253755542299,1.34231673425802,0.0743418763567889,18.0559975082663,7.07717907285711e-73,6.23600578876895e-71
"MAL",53.2933216097844,-3.02378754268435,0.16768827932876,-18.032193751336,1.08884639581216e-72,9.54882166261049e-71
"STK17B",20.7919241527385,1.44014971079734,0.0799404391149543,18.0152839631817,1.47820556404037e-72,1.29022244136807e-70
"MRGPRF",14.5545553673984,1.28038352418643,0.0710899697530523,18.0107479104878,1.60445988053086e-72,1.39384627367808e-70
"SLK",23.7346546998628,1.37474685298808,0.0763638606379703,18.0025844883032,1.85936270360898e-72,1.60774053586825e-70
"FAM180A",18.6254614110246,1.3722036279137,0.0762391438900708,17.998675718241,1.99533099087675e-72,1.71728393745039e-70
"RBMS1",24.4782366458254,1.1680350583024,0.064997696898176,17.9704068612188,3.32268982418407e-72,2.84643761605102e-70
"GIMAP7",21.2600248539328,1.35391674220586,0.0753821580230343,17.9607055265272,3.95745529882444e-72,3.37459690550449e-70
"PALLD",29.2905920225198,1.4011539890257,0.0781067358789404,17.9389648441766,5.85354036908745e-72,4.96852802704561e-70
"FCN3",33.5648300541333,2.5431054465561,0.14184457696127,17.9288168856147,7.02588678020202e-72,5.93639310414878e-70
"GAS1",23.3115747451712,1.54969371435829,0.0866007157528894,17.8946986856351,1.29696430179786e-71,1.09086488365762e-69
"TMSB4X",467.02585365763,1.84091031613024,0.102947489100092,17.8820322110079,1.62793547925049e-71,1.36304606823761e-69
"RRAS",19.4128009655772,0.998990700882485,0.0560050099112113,17.8375238655659,3.61357837045452e-71,3.01196640391398e-69
"SERINC2",19.9515824703383,-1.82502855887516,0.10245262046205,-17.813390722897,5.56350492404201e-71,4.61646166432616e-69
"NECAB1",17.0369874204926,1.32924380063997,0.0747418896451475,17.7844553696839,9.32652034955159e-71,7.70437198875458e-69
"EXPH5",19.5933145443682,1.25684774450405,0.0708489314996502,17.7398263869408,2.0657225914137e-70,1.69885025917862e-68
"DYSF",22.0159571021967,1.17195858986263,0.0665112756019819,17.6204497546535,1.71634984884362e-69,1.40528042491161e-67
"RNASE1",55.3134469438782,2.12394951218791,0.120679522087377,17.5999165015759,2.46687653142663e-69,2.01088472852504e-67
"FHL1",23.0499540532572,1.30067500879536,0.074005707251774,17.575333810004,3.80643397067955e-69,3.08922167515151e-67
